date,total_kwh,avg_power,max_power,min_power,readings_count
2006-12-16,20.152933333333333,3.0534747474747475,7.706,0.284,396
2006-12-17,56.507666666666665,2.354486111111111,7.064,0.206,1440
2006-12-18,36.73043333333334,1.5304347222222223,6.158,0.202,1440
2006-12-19,27.7699,1.1570791666666667,7.84,0.194,1440
2006-12-20,37.0958,1.5456583333333334,5.988,0.202,1440
2006-12-21,28.610400000000002,1.193757997218359,5.854,0.194,1438
2006-12-22,39.022299999999994,1.6259291666666669,7.884,0.202,1440
2006-12-23,79.55643333333333,3.314851388888889,8.698,0.208,1440
2006-12-24,42.50020000000001,1.7708416666666669,6.824,0.196,1440
2006-12-25,45.718666666666664,1.9049444444444443,6.702,0.198,1440
2006-12-26,65.5685,2.7320208333333333,6.496,0.418,1440
2006-12-27,25.479333333333336,1.0616388888888888,5.56,0.21,1440
2006-12-28,34.54396666666666,1.4393319444444443,9.132,0.218,1440
2006-12-29,52.90653333333333,2.204438888888889,7.238,0.216,1440
2006-12-30,46.488366666666664,1.939709318497914,9.078,0.204,1438
2006-12-31,58.236599999999996,2.426525,6.722,0.206,1440
2007-01-01,45.81673333333333,1.9090305555555556,3.558,0.204,1440
2007-01-02,21.153933333333335,0.8814138888888889,3.688,0.358,1440
2007-01-03,16.9009,0.7042041666666666,5.19,0.23,1440
2007-01-04,54.32353333333333,2.2634805555555553,5.976,0.26,1440
2007-01-05,45.22273333333333,1.8842805555555555,5.73,0.222,1440
2007-01-06,25.139633333333336,1.047484722222222,8.044,0.234,1440
2007-01-07,40.79366666666667,1.6997361111111111,7.774,0.24,1440
2007-01-08,37.355999999999995,1.5565,4.97,0.216,1440
2007-01-09,31.1509,1.2979541666666667,8.67,0.202,1440
2007-01-10,35.91333333333333,1.496388888888889,6.836,0.212,1440
2007-01-11,37.58656666666667,1.5661069444444444,7.754,0.21,1440
2007-01-12,24.35493333333333,1.014788888888889,6.478,0.206,1440
2007-01-13,53.11356666666667,2.2130652777777775,9.272,0.212,1440
2007-01-14,50.130266666666664,2.0902126476719944,7.64,0.202,1439
2007-01-15,35.8113,1.4921375,5.896,0.208,1440
2007-01-16,28.10673333333333,1.1711138888888888,5.57,0.212,1440
2007-01-17,47.46146666666667,1.977561111111111,8.0,0.206,1440
2007-01-18,30.3577,1.2649041666666667,6.808,0.212,1440
2007-01-19,24.674,1.0280833333333335,6.132,0.198,1440
2007-01-20,52.22886666666667,2.1762027777777777,8.658,0.218,1440
2007-01-21,56.787699999999994,2.366154166666667,8.018,0.206,1440
2007-01-22,36.341566666666665,1.5142319444444445,7.722,0.212,1440
2007-01-23,29.627333333333333,1.2344722222222222,6.036,0.202,1440
2007-01-24,49.79756666666667,2.074898611111111,7.248,0.212,1440
2007-01-25,26.605733333333333,1.1085722222222223,5.832,0.206,1440
2007-01-26,26.9662,1.1235916666666665,5.024,0.208,1440
2007-01-27,34.06786666666667,1.4194944444444444,6.204,0.214,1440
2007-01-28,51.5034,2.147466296038916,7.552,0.224,1439
2007-01-29,33.044399999999996,1.37685,4.908,0.222,1440
2007-01-30,28.4633,1.1859708333333334,6.166,0.228,1440
2007-01-31,39.39586666666666,1.6414944444444444,6.59,0.226,1440
2007-02-01,30.412666666666667,1.2671944444444445,7.482,0.222,1440
2007-02-02,27.795599999999997,1.15815,5.448,0.22,1440
2007-02-03,67.16203333333334,2.7984180555555556,7.904,0.236,1440
2007-02-04,59.93233333333333,2.4971805555555555,7.698,0.22,1440
2007-02-05,27.421333333333337,1.1425555555555555,5.816,0.222,1440
2007-02-06,21.224666666666668,0.8843611111111112,4.816,0.214,1440
2007-02-07,38.8003,1.6166791666666667,6.694,0.218,1440
2007-02-08,30.023566666666667,1.2509819444444443,5.58,0.216,1440
2007-02-09,27.0033,1.1251375000000001,6.146,0.218,1440
2007-02-10,47.15546666666666,1.964811111111111,6.88,0.254,1440
2007-02-11,59.520466666666664,2.4800194444444443,7.426,0.252,1440
2007-02-12,31.293499999999998,1.3038958333333333,6.514,0.222,1440
2007-02-13,23.575766666666667,0.9823236111111111,4.972,0.214,1440
2007-02-14,41.64453333333333,1.735188888888889,6.008,0.212,1440
2007-02-15,33.0891,1.3787125,7.234,0.246,1440
2007-02-16,28.375466666666668,1.182311111111111,6.316,0.252,1440
2007-02-17,34.615199999999994,1.4423,7.33,0.214,1440
2007-02-18,63.82936666666667,2.6595569444444447,7.16,0.226,1440
2007-02-19,36.44356666666667,1.5184819444444444,7.682,0.218,1440
2007-02-20,52.49879999999999,2.18745,8.374,0.25,1440
2007-02-21,34.5479,1.4394958333333332,8.974,0.21,1440
2007-02-22,56.15796666666667,2.3431696801112656,9.41,0.252,1438
2007-02-23,21.891333333333332,0.9121388888888889,5.468,0.206,1440
2007-02-24,11.915366666666667,0.4964736111111111,2.464,0.204,1440
2007-02-25,8.362333333333332,0.3484305555555556,1.536,0.21,1440
2007-02-26,9.474733333333333,0.3947805555555556,1.558,0.21,1440
2007-02-27,8.635200000000001,0.35979999999999995,1.47,0.21,1440
2007-02-28,8.679566666666666,0.36164861111111113,1.486,0.21,1440
2007-03-01,8.626066666666667,0.3594194444444444,1.472,0.208,1440
2007-03-02,8.5948,0.35811666666666664,1.468,0.208,1440
2007-03-03,13.652033333333334,0.5688347222222222,4.242,0.206,1440
2007-03-04,34.845,1.4518749999999998,10.67,0.208,1440
2007-03-05,44.33886666666667,1.8474527777777776,9.486,0.208,1440
